movie_title,rating,helpful,total,date,title,review
La Grande Illusion,7,2,2,23 April 2014," The French Great Escape in WWI
","During WWI, French aviators aristocratic Captain de Boeldieu and working class Lieutenant Maréchal are taken prisoners. Boeldieu and the victorious aristocrat German aviator von Rauffenstein actually has a lot in common. The two captives have differing experiences finally arriving in Wintersborn prison commanded by von Rauffenstein. The prison duo and Rosenthal try to escape.There are some interesting parts in the first half. It's about 50 minutes when they get to the castle prison. A modern POW escape movie would send them to one place and let the tension built. The second half is closer to that idea. The castle prison isn't the most impressive or the most forbidding. That holds back the movie a little.The characters are well drawn. The actors are very natural. Beside an escape movie, this is very much a relationship movie. It's their different backgrounds and their connections that make this more. It's a fairly compelling movie but it's not really a war movie. There is very little action or even gun fire. This is more of a human relations movie. I do wish that the original duo stay together throughout the movie. That way their relationship could develop more."
The Illusionist,7,1,1,14 December 2015," beautiful and generally good
","It's late 19th century Vienna. Chief Inspector Walter Uhl (Paul Giamatti) is arresting illusionist Eisenheim (Edward Norton) for Crown Prince Leopold (Rufus Sewell). Uhl recounts Eisenheim's life story to the Prince. Young poor Eisenheim was in love with high born Duchess Sophie but they were separated by force. He wanders the world learning illusions and returns to find Sophie (Jessica Biel) engaged to arrogant Prince Leopold. The prince dislikes Eisenheim and is also scheming to overthrow his father, King Leopold of the Austro-Hungarian Empire.The film looks beautiful with great looking sets. The acting is generally good. Giamatti is playing a conflicted character. Biel is better than her usual self. Norton is a compelling lead. Sewell is suitably villainy. I like this film although I would like a bit more intensity. There is mostly a brooding tension. Also the final twist is not surprising but it is fitting."
Fantastic 4: Rise of the Silver Surfer,7,1,3,28 September 2013," Better than the first
","Mr. Fantastic/Reed Richards (Ioan Gruffudd), Invisible Woman/Sue Storm (Jessica Alba), Human Torch/Johnny Storm (Chris Evans), and The Thing/Ben Grimm (Michael Chiklis) make up the Fantastic 4. This time they are much more like a bickering family. Reed and Sue are getting married, but superhero stuff keep getting in the way. They introduce the mysterious character of the Silver Surfer, and Dr. Doom (Julian McMahon) is back causing problems.The best part of this movie is the family dynamics. They feel like a real family having family problems. They have much more chemistry this time around. The most fascinating must be the Silver Surfer. He's definitely the character with the most promise. But he's neither the good guy nor the bad guy. The moral ambiguity really muddies the waters. It's fascinating. The most disappointing must be Galactus. For a planet destroyer, the ending seems too tame. The final confrontation just wasn't special enough."
Grudge Match,5,0,1,4 June 2014," Not as bad as I fear
","Henry 'Razor' Sharp (Sylvester Stallone) and Billy 'The Kid' McDonnen (Robert De Niro) were the toughest of rivals. At the height of their rivalry with a big fight coming up, Razor abandons his boxing career and retires after Billy gets his girlfriend Sally Rose pregnant. Now 30 years later, Razor is working a lunch box job while Billy is still living off of his past success. Dante Slate Jr. (Kevin Hart) is the son of their late former promoter who comes to them with a job for a video game. Billy ambushes Razor at the video game taping and starts a fight. The fight goes viral and Dante has a new opportunity. He offers them $100k each to fight for real. Razor gets his old trainer Louis Conlon (Alan Arkin) to help. Sally (Kim Basinger) and the long lost son B.J. (Jon Bernthal) re-enter their lives.It's not as horrible as I feared. The big problem is that most of the jokes don't work. Even the red hot Kevin Hart can't solve that problem. He's not in it enough anyways. This movie almost works with the dysfunctional personal drama, but it's a little too slow. Kim Basinger and Stallone have very awkward chemistry. DeNiro has a better time with his new family. It's a lot of geezer jokes and geezer training. There are a couple of smirk-worthy moments like Razor almost punching the slabs of meat or Alan Arkin having fun with Kevin Hart. The movie has its moments but the ending drags on and on. It turns into way too serious of a fight. Stallone just can't let go of Rocky. Peter Segal is not a favored comedic director of mine. This does not improve my opinion of him."
Nausicaä of the Valley of the Wind,8,1,3,25 March 2014," Imaginative and wonderful
","In a thousand years in the future, the world is struggling against giant insects and a poisonous encroaching jungle. Nausicaä is a young princess of the people of the Valley of the Wind. It's a small kingdom ruled by King Jil. They are constantly defending the Valley from the gigantic Ohm insects and poisonous plant spores. Then they are attacked by the Tolmekians led by Princess Kushana. The Tolmekians are trying to reassemble an ancient Giant Warrior to burn all the jungle. When Nausicaä escapes, she discovers that the jungle may not be the source of the poison.It's a wonderfully imaginative movie. It's an early full length movie directorial effort from brilliant Japanese animation master Hayao Miyazaki. The only thing is that it takes place in a world that is all too real. I wish that it is much more other worldly. Maybe if it takes place in an alien world. There is a small nagging realism question when it's trying to explain nature and the poison. However I'm willing to sidestep all of it and just feel the central message rather than trying to think too much about it."
The Curious Case of Benjamin Button,6,1,2,7 May 2014," Fascinating but not the most compelling
","On her death bed, Daisy (Cate Blanchett) recounts the story of blind clockmaker Mr Gateau to her daughter Caroline (Julia Ormond). In 1918, Mr Gateau made the train station clock that runs backwards to commemorate his son as well as countless other lost in the great war. Daisy asks Caroline to read the diary of Benjamin Button (Brad Pitt). He was born on the night when WWI ended. His mother died in childbirth. He was born horribly old and his father almost threw him into the waters. He is left on the doorstep of Miss Queenie (Taraji P. Henson) who ran an old age home. As he ages, he appears younger and younger.Director David Fincher has created a fable. It's darn interesting, but I can't say it's a compelling watch. It's fascinating without being exciting. It has very little tension or suspense. The workmanship is excellent, but the slow pace really tests anybody's endurance. It's a marvel of technology to see Brad Pitt in BB's every incarnation. But it takes too long to get to the heart of the movie which is the romance with Daisy. Also the age difference in their appearance make the romance kind of awkward. I think it would be better for them to meet at a later date, and start the movie then. The movie is basically one big flashback. I think the movie should flashback to his childhood only as needed. Take away the reverse aging, this is a movie about a long winding life. It's a little too long and too winding for my taste."
Transformers,7,1,3,1 December 2013," great action better than expected
",The Autobots and the Decepticons bring their war from the planet of Cybertron to Earth. They battle for the Allspark which is a mystical source of unimaginable power. Sam Witwicky (Shia LaBeouf) has artifacts from his grandfather who met a giant robot in his arctic expedition.This is a much better movie than I could ever expect. I had serious reservations when I first heard that Michael Bay was going to make a live action Transformers movie. The CGI looks great. Shia LaBeouf and Megan Fox actually work. They have spark and charisma. The action is massive and impressive.It's the story where the movie has a few problems. It's convolute and too complicated. But nobody watches this for the story. We watch it for the action.
Pawn Sacrifice,8,0,0,27 August 2016," obsession and madness
","Bobby Fischer (Tobey Maguire) is a chess master and Russian Boris Spassky (Liev Schreiber) is his nemesis. His mother is a Russian immigrant who instilled a fear of spying in him. They don't get along and become estranged. As he rises in chess rankings, he is confronted by the Russian chess players playing as a team. He quits calling them cheaters. Lawyer Paul Marshall (Michael Stuhlbarg) recruits Bobby to continue playing as a way to fight the Cold War. Father Bill Lombardy (Peter Sarsgaard) is his constant companion and the only friend who understands since he beat both Bobby and Boris when they were young. Bobby's mind deteriorates and he gets more paranoid. His sister Joan Fischer (Lily Rabe) fears for his mental health.Tobey Maguire delivers an intriguing performance of obsession and growing madness. The chess is more compelling than expected. The big match between Fischer and Spassky turns into psychological warfare. It touches on the specific era of the Cold War. It's a maddening character study and a surprisingly effective thriller."
Men in Black II,6,0,0,19 October 2013," Chemistry is off
","Serleena (Lara Flynn Boyle) is an alien looking for the Light of Zartha. Agent Jay (Will Smith) must reunites with Agent Kay (Tommy Lee Jones), who's been living as civilian, to stop Serleena before it's too late.It starts off wrong with Tommy Lee Jones missing for the first 30 minutes. It just throws the whole chemistry of the movie off. It still has the MIB style. Once TLJ returns, it recovers somewhat, but the scavenger hunt plot just rambles on. There's really only two things we watch this for; the weird and fun style, and the chemistry between the two leads. The weird stuff is there. For some reason, the chemistry never gets back to the fun that was the first movie. It has to be Agent Kay who just isn't himself for much of the movie."
Wimbledon,6,1,2,27 September 2013," barely passable rom-com
","Peter Colt (Paul Bettany) is an aging English tennis player. His ranking has slipped from 11th to 119th in the world. He is considering what to do next after this final Wimbledon. Then he encounters Lizzie Bradbury (Kirsten Dunst) when he enters the wrong hotel room. She's a rising American tennis star. Sam Neill plays her controlling father Dennis.For a sports movie, it just doesn't have the energy. The action isn't that compelling. It's just isn't shot well.Peter is a tired character, and it infects the movie especially early on. And his nagging narrations do not energize it in the least. Kirsten Dunst is doing her flirty best. The chemistry between the leads isn't all there. As a rom-com, it's barely passable."
Magic Mike XXL,5,2,2,8 March 2016," early fun
","Mike (Channing Tatum) is working his dream of making furniture but he's barely scrapping by. Dallas has left the Kings of Tampa behind and the guys are looking for one last blow-out. Big Dick Richie (Joe Manganiello), Tarzan (Kevin Nash), Ken (Matt Bomer), Tito (Adam Rodriguez), and MC Tobias (Gabriel Iglesias) are going on a road trip to a convention in Myrtle Beach run by Paris (Elizabeth Banks). When Tobias gets hurt in a crash, Mike recruits Rome (Jada Pinkett Smith) who brings along Andre (Donald Glover). Mike falls for Zoe (Amber Heard) but the guys are joined by her mother Nancy Davidson (Andie MacDowell) and her friends.I like the first thirty minutes or so. It kept some of the Soderbergh style. I like Manganiello who is very charming and a little funny. I love him in the convenient store. It's the most innocent fun and I wish the movie stays with that feel. The movie should stay with the six guys having misadventures on the road on their way to the big gig. Then it tries to replace Matthew McConaughey with Jada Pinkett Smith. Matthew stole the first movie. Jada seems to be trying to repeat the feat but it's not the same. Then it tries to inject Glover in with the group which only jumbles up the chemistry once again. The Andie MacDowell section is interesting and it would be great as a companion scene to other more humorous scenes. The last thirty minutes is a long series of stripper performances. I'm sure it's orgasmic for middle aged girlfriends drinking their wines but it gets pretty boring for me. I like the first act but the movie loses a little bit of chemistry when it sets aside Iglesias."
Hidden Figures,7,5,12,30 January 2017," great story
","Katherine Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer), and Mary Jackson (Janelle Monáe) work at NASA's Langley colored calculating division in the still segregated Virginia. The facility is waiting for the new IBM computers and calculations are done by hand. The Russians are rocketing ahead. Katherine is assigned to director Al Harrison (Kevin Costner) who is under pressure to launch an American into space. Dorothy is a supervisor in practice but Vivian Mitchell (Kirsten Dunst) won't let her have the title. When the IBM computers are installed, Dorothy quickly learns to be an expert programmer leading the other colored girls. Mary must fight to attend an all-white school to be an engineer. The hard work culminates in John Glenn's flight on Friendship 7.This story is a great unknown American history. Sometimes, it pushes too hard on the social commentary button. It's not really necessary since the story lays it out so well. There is no need for Taraji to make that big speech. A simple proclamation of her bathroom use and the fact that she's dripping wet should be enough to allow for a great moment for Al Harrison. There is also no need for him to take down the bathroom signs in such a theatrical way. The problem with these theatrical moves is the diminishment of the inherit power of those moments. Instead of commenting on the coffee pot, somebody could later drink her coffee as a point of transformation. While it doesn't make the movie bad, it is unnecessary for this great story."
Coco,8,2,3,19 February 2018," imaginative world, appealing characters, compelling adventure
","In Mexico, a girl's musician father leaves the family in search for fame and never returns. Her mother Imelda Rivera bans all music and goes into shoe making. The little girl grows up and becomes Miguel's senile grandmother Coco. The family follows Imelda's footsteps into shoe making and music hating. Miguel reveres late music legend Ernesto de la Cruz and secretly aspires to be a musician. When he tries to steal Ernesto's guitar, he falls into the land of the dead and reunites with his dead ancestors.This is an imaginative world with appealing characters and a compelling adventure. It has the terrific Pixar animation. Basically, it hits all the right notes and ends with a tear jerking climax. The has been animated movies about the Day of the Dead which may be diluting some of the impact. It is nevertheless quite a fun movie for the entire family."
Cloudy with a Chance of Meatballs,7,0,2,22 September 2013," Good harmless fun
","Flint Lockwood (Bill Hader) is an inventive kid, but all his inventions end badly. His father (James Caan) is tired of it all and forces him to work at his bait and tackle store.One thing their town is known for is sardine. They closed the cannery down and the town is in a funk. It's not only the economy but it's also all the sardines. Everybody eats only sardines. So Flint try to invent a machine to make a cheese burger. The machine gets sent to the atmosphere where it creates food which rain down on the town. At first, it's wonderful but things get out of hand.The animation is nice and the characters are likable. It's a good family movie with some harmless goofy fun. I like the brightly colored style which fits the story quite well."
1917,8,0,3,13 March 2020," exceptionally filmed
","Lance Corporals Blake and Schofield are given an urgent message by General Erinmore to deliver to a cut-off unit to stop a planned attack. They travel across abandoned German positions and across German lines facing many dangers.This is directed by Sam Mendes with cinematography by the great Roger Deakins. It's a faux continuous shot. It's masterfully filmed. The tension is more limited until the action starts. It tries to raise the emotional content after the plane crash. It would work better if Blake starts as the main character. It could have been a great shock. That's what this movie lacks. It doesn't have the bite of great twists and turns other than the great resolution. Nevertheless, this is an exceptionally filmed war action movie and that it is worth every penny."
Lincoln,8,2,3,31 August 2013," All the President's Men
","Director Steven Spielberg takes on the much examined life of President Lincoln, except it's Lincoln the politician based on Doris Kearns Goodwin's book.It's not about the pretty speeches or the vast battles. It's about the petty politics, and his schemes as he drives the 13th Amendment to ban slavery.Daniel Day-Lewis leads a stellar cast, but he still outshines them all. He is inhabiting his role as the president. Sally Field is the First Wife although I thought she was too pretty. The cast is chalk full of masters and masters-to-be. And the story behind scenes is eye opening, and just so modern."
Sing Street,8,3,5,31 December 2016," sweet coming-of-age
","It's 80's Dublin. Economy is bad and everybody is leaving for London. Conor Lawlor's parents are cutting back on costs and he's forced to attend the Christian Brothers School on Synge Street. He's picked on by school bully Barry Bray and Brother Baxter insists on black shoes. He's befriended by diminutive Darren Mulvey. He gets aspiring model Raphina to be his video vixen. Now, all he needs is a band so that he can shoot the video. His older brother has such sage advise as 'No woman can truly love a man who listens to Phil Collins.' and be 'Happy-Sad'.This is one part nostalgia, one part sweet coming-of-age, and one part family dysfunction. All three are great and they work well together. The kids are great. The songs are alright. It needs a catchy tune like Once where it sells the movie. In the end, the songs are mostly amateurish like the characters themselves. The story touches all the right spots. It is sweet and sour. Above all, one really like these characters."
Rules of Engagement,5,3,5,20 December 2014," Terrific action but not good everything else
","During the Vietnam War, Marine Terry Childers (Samuel L. Jackson) executes a prisoner to intimidate a North Vietnamese officer into calling off an attack on his unit and thereby saving the life of Hays Hodges (Tommy Lee Jones). Years later, Hodges is retired and Childers leads a group of Marines sent to relief the embassy in Yemen. Ambassador Mourain (Ben Kingsley) is begging to evacuate and Childers loses 3 men. He orders return fire and 83 civilians are killed. National Security Adviser Bill Sokal (Bruce Greenwood) is angry and intends to make Childers the scapegoat. Childers faces court martial and he asks Hodges to defend him. Maj. Mark Biggs (Guy Pearce) prosecutes.The first thing director William Friedkin has to decide is whether we root for Childers or not. Every step forward is followed by a step backwards. He's working at cross purposes with himself. The action scenes at the embassy are terrific. Friedkin is still at his best doing action. However he should hold those scenes for later in the movie. That way the movie can play with his guilt and innocence. Also the movie skimps on the CSI aspects. It's really questionable how everybody just skips over the snipers across the way. There were snipers but nobody cares. Also Greenwood is basically a cartoon villain. The politics is simplified to a ridiculous amount. The whole thing feels manufactured and not well done. Then the closing credits force a happy ending wrapped up in a nice little bow. That's almost as ridiculous as everything else."
Pi,8,0,1,30 May 2016," Aronofsky debut
","Maximillian Cohen is sickly and math obsessed. He is building his Euclid computer in his small New York apartment as a way to understand and predict the world. Sol Robeson is his mentor. Religious Jew Lenny Meyer introduces him to the mathematical nature of Hebrew and the Torah. He finds that the computer predicted the correct stock price. He is also hounded by Marcy Dawson from a powerful financial consortium. They offer him a supercomputer chip. The computer outputs a number and everybody wants it.This is a debut from Darren Aronofsky with great originality. It has great paranoid thriller vibe. The music, the style, and Max all build a great obsessive mood. There are some things to nit-pick. The camera work is strictly indie. The action scenes are a little dizzying and not in a good way. It's unlikely that Aronofsky had the equipment to do better although some low-budget indies do better somehow. The acting from some of the secondary characters could also be better. They are all understandable indie deficiencies."
Kelly's Heroes,8,4,5,2 May 2015," Sutherland hippilarious in irreverent WWII heist movie
","Kelly (Clint Eastwood) goes behind the lines and capture a German Colonel. Big Joe (Telly Savalas) is more interested in women and hotels than any military intelligence. They are getting hit by their own fire as well as the Germans. Kelly discovers that the Germans are actually transporting gold. As everybody pulls out, Kelly intends to steal the gold with a few of his fellow soldiers. Their Captain is more concerned about transporting a yacht to Paris while his men take a 3 day rest in the middle of nowhere. Crapgame (Don Rickles) is an opportunistic supply sergeant. They recruit Oddball (Donald Sutherland) and his three Sherman tanks. The gungho General Colt (Carroll O'Connor) berates his men for their lack of fighting spirit. When Kelly's men break through, he eagerly follows their advance.This is a fun WWII movie. It's really a heist movie. The war is full of ridiculousness. This has more in common with MASH and that's not simply about Sutherland. He does create one of most memorable characters around. He is hippilarious. It's an irreverent take on the chaos and the incompetence of war. There are a lot of action blowing up lots of stuff. It's one of those movies where lots of Germans get killed. At the core, it's a really fun heist movie."
Empire Records,7,0,0,13 May 2016," crazy wild fun
","A group of young people work at the independent Empire Records. While closing up, Lucas (Rory Cochrane) discovers a contract in manager Joe Reaves (Anthony LaPaglia)'s office to sell out the store to big corporate Music Town. Lucas tries his luck with the store's cash to save the place and promptly loses $9k in Atlantic City. The next morning, A.J. (Johnny Whitworth) and Mark (Ethan Embry) are the first at the store. Corey Mason (Liv Tyler) and flirty friend Gina (Renée Zellweger) have a crush on 80's pop star Rex Manning (Maxwell Caulfield) who is coming to the store. His time is mostly pass and even his assistant Jane (Debi Mazar) doesn't like his music. Angry Deb (Robin Tunney) shaves her head. A.J. vows to reveal his love for Corey. They catch a young shoplifter who claims to be Warren Beatty. It's going to be a crazy day.This is a crazy wild mess of young people fun. The music is loud and mostly good. The story is full of teen angst. The best is the cast of great young up and comers. Tyler and Zellweger are in short skirts. Tunney actually shaves her hair. It's lots of teen melodramatic fun. The characters are appealing. It's certainly possible to be get-off-my-lawn on this movie but not me. Even a bad sleazy Maxwell Caulfield can't get me out of this movie."
Children of Men,8,1,3,20 October 2013," Daring vision from Cuarón
","The world has collapsed when nobody is able to conceive any more children. It's 2027 in a dystopian London where they still try to maintain civilization in a crumbling infrastructure despite the terrorism of rebel group The Fishes. Theo Faron (Clive Owen) is drawn into intrigue when Fishes kidnaps him. Only it's his ex-wife Julian (Julianne Moore) that executed the capture. She asks for his help with someone truly special.Director Alfonso Cuarón has adapted an imaginative sci-fi premise with his personal vision of a dark apocalyptic future. The plot is dense with dreadful energy. Through it all, Clive Owen is able to maintain his persona of the everyman. He maintains believability in this semi-realistic future. There are long stretches of moody grumpy scenes of tired people. The police state can get quite dark. When the action does come, it gets very intense and very real with some very long takes of intricate action. The final scenes are as profound as anything ever on film."
Million Dollar Baby,8,3,5,6 January 2014," Clint Eastwood turns in another great movie
","Frankie Dunn (Clint Eastwood) is an old hand at training. His latest fighter (Anthony Mackie) doesn't have the heart and he's reluctant to get him the championship shot. Maggie Fitzgerald (Hilary Swank) is a self professed white trash. She scrounge enough money for the gym, but Frankie refuses to train her because she's too old. She won't give up, and with the help an old retired fighter Eddie Dupris (Morgan Freeman), she convinces Frankie to give her a chance.This is a great standard underdog sports story for 3/4 of the movie. It works great. Clint and Morgan are old hands at this. They cancel each other a bit with their grumbling voices and their gruff demeanor. Hilary Swank is perfect for the role. She's no princess. She can definitely play the hungry white trash role.Then the last 30 minutes turn dark. It's a change in tone. It has difficult things to say. If it could be edited down, it could be even better. After the big climatic fight, the final ending takes a little too long. But that's a minor pacing problem in an otherwise compelling great movie."
Garden State,8,1,1,14 January 2014," Great first indie from Zach Braff
","Andrew Largeman (Zach Braff) is a troubled, depressed, and heavily medicated actor who once played a retarded quarterback on TV. He's now just a waiter in LA. He returns home to his mother's funeral, and his overbearing psychiatrist father (Ian Holm). He reconnects with an old friend Mark (Peter Sarsgaard), and new girl Sam (Natalie Portman).Written and directed by Zach Braff, this is a very impressive big screen debut for him. He has a good eye for interesting visuals. The story does meander as he drifts. It has an ethereal aimless feel to the movie. That is until he meets Natalie Portman. She's at her height of her IT girl phase, and there is a great reason for it. She's completely magnetic on screen. It's easy why anyone would fall head over heels for her. She plays the MPDG who brings him out of his depression."
Donnie Brasco,7,0,2,13 April 2014," Not as intense as I hoped but still has good performances
","FBI agent Joe Pistone (Johnny Depp) goes undercover to infiltrate the mob as Donnie Brasco. Benjamin 'Lefty' Ruggiero (Al Pacino) is a wearied survivor mob soldier who takes in the street smart Brasco under his wing. As their boss Sonny Black (Michael Madsen) rise up, Pistone is there to gather the evidence as his marriage to Maggie (Anne Heche) suffers. Ruggiero dreams of getting away from the untrustworthy Black.This is base on a true story, and with two of the greatest talents around, I hoped for better. I hoped for better intensity. It has the era, the mannerism, and the style. Pacino is giving a slightly different take on the wise guy. Depp is stepping up. The performances are spot on. It's great that it's a true story. But the movie basically shows all its cards early on. I would probably consider not revealing the FBI undercover story or have their bosses push them harder. Something is needed to drive up the tension. The movie just doesn't translate the danger onto the screen. Director Mike Newell really needs to amp up every cinematic opportunity to represent danger. For example, Donnie finds a picture of their Miami boat in a magazine on the plane. A more compelling scene would have somebody almost picking up the same magazine or even pick up that magazine. True or not, the director needs to pump up the tension."
Casualties of War,5,3,9,29 October 2014," Compelling story but need grittier visual style
","Max Eriksson (Michael J. Fox) is a Vietnam vet haunted by an incident during the war. Sgt. Tony Meserve (Sean Penn) leads a squad of five soldiers. He's hard-nosed and then his longtime friend gets hit. Eriksson is still considered cherry. PFC Diaz (John Leguizamo) is the new replacement. Along with Cpl. Clark (Don Harvey) and PFC Hatcher (John C. Reilly), the group kidnaps a village girl and rapes her.I have some problems with the realism of the look. It's the way director Brian De Palma shoots some of the action. At least twice, he uses the background to show action while in the foreground a character looks forward. It's a very manufactured look and takes away from the realism that this movie desperately needs. MJF does the ethical naive jittery newbie but something about him strikes me unrealistic. He's not up to the drama. It's not gritty enough. I feel it would be more intense if he kept more quiet. The character needs to have some more internal conflict. On the other, Sean Penn nails it as the disturbed leader of the squad. But that just emphasized the lack of drama acting coming from MJF."
Event Horizon,6,1,2,8 August 2015," sci-fi haunted ship horror had potential
","The first permanent moon base is established in 2015 and commercial mining on Mars begins in 2032. In 2040, research vessel Event Horizon is launched. It disappears past Neptune. In 2047, spaceship Lewis and Clark is sent to investigate. The crew consists of Captain Miller (Laurence Fishburne), Lieutenant Starck (Joely Richardson), pilot Smith (Sean Pertwee), Medical Technician Peters (Kathleen Quinlan), Engineer Ensign Justin (Jack Noseworthy), Rescue Technician Cooper (Richard T. Jones), and Trauma Doctor D.J. (Jason Isaacs). Event Horizon's designer Dr. William Weir (Sam Neill) joins them and tells the crew about its innovative gravity drive.The design is interesting and this has the potential to be a pretty good sci-fi horror. This is essentially a haunted house but the chaos overwhelms the movie. Sam Neill doesn't really fit as the mad scientist type. That role needs somebody creepier. Captain Miller is too clueless. In fact, Starck is a smarter character and in a better movie, she would be revealed as the lead. This movie has a great cast, an interesting look and great potential. It's too bad that it's not actually that good."
The Nightmare Before Christmas,9,1,1,3 June 2015," fun original imaginative
","Jack Skellington is the pumpkin king of Halloween Town. After another successful Halloween, he has grown tired of the monotonous constant sameness. He stumbles into a tree with a magical door which sends him to Christmas Town. He is so taken with Christmas that he tries explain it to his people. Only nobody really understands and he only has limited knowledge himself. Rag doll Sally loves Jack but fears his obsession will turn disastrous when he tries to take over Christmas. It is a wild world of imagination. It is a visual delight of macabre wonderfulness. It is childlike for the kids. It's outlandish for the adults. Jack is a charming character. This is fun and original."
The Girl with the Dragon Tattoo,8,1,2,10 January 2015," Noomi Rapace great discovery, terrific dreadfulness
",Mikael Blomkvist is the publisher of Millennium magazine. He loses a libel case brought by billionaire financier Hans-Erik Wennerström. He is setup and found guilty. He is sentenced to three months and a large fine. Lisbeth Salander is a skilled hacker hired to follow him by Henrik Vanger. Henrik is the patriarch of an old wealthy family. He wants to hire Blomkvist to investigate the disappearance of his niece Harriet who vanished in 1966. He believes that she was killed by a family member but her body was never found. Blomkvist's father used to work for the family and he visited them as a child. Lisbeth is given a new creepy guardian.It is dark. It is as complicated as any murder mystery. It is disturbingly graphic and Noomi Rapace's performance is gripping. She's the great discovery in this movie. The nordic feel adds to the cold atmosphere. The whole movie is filled with this feeling of dread. It is truly chilling.
"Good Night, and Good Luck.",6,0,0,30 August 2016," inside baseball
","It's 1953. CBS journalist Edward R. Murrow (David Strathairn) leads an on-air fight against Senator Joseph McCarthy and his crusade to uncover communists and other unamerican activities. The film follows the CBS news team which includes producer Fred Friendly (George Clooney), reporter Joseph Wershba (Robert Downey Jr.), wife fellow reporter Shirley Wershba (Patricia Clarkson), and others.George Clooney is also the writer and director. He decided to strip this of its Hollywood flash by making it black and white, and keeping the sound design to a minimum. It's a smoke-filled representation of the behind the scenes work in the newsroom. It doesn't have the tension for me. It's inside-baseball for the journalist crowd. Clooney can't escape being Clooney and it's hard to see these characters as flesh and blood. The story could have better tension if McCarthy has an actor playing the group's foil. The news footage serves an useful historical reference but it needs a big performance to deliver the intense drama."
Big Hero 6,7,3,8,2 May 2015," good origin story but problematic villain true identity
","Hiro Hamada is a young robotics genius in San Fransokyo. He spends his time in underground robot fights. Hiro's brother Tadashi takes him to the robotics team at his university mentored by professor Callaghan and shows him his inflatable medical robot Baymax. To get onto the team, Hiro creates a swarm of microbots. It impresses sleazy businessman Alastair Krei and he offers to buy them. Hiro refuses and then a fire engulfs the convention center. Both Callaghan and Tadashi are presumed dead. Using Baymax and a leftover microbot, Hiro discovers a masked man has copied vast numbers of his microbots. With Tadashi's friends and Baymax, they battle the masked man.This is a fun superhero animated movie. The colors are brilliant and the animation is top-notch. It's full of action and it's emotionally dense. Hiro is a reasonable lead. The rest of the team is even better. They are a memorable diverse group. Baymax is super cute. The villain is where the movie falls down a little. While the masked man looks cool, the twist reveal leaves a lot to be desired. There are a lot about the identity of the villain that doesn't make sense. I'm not going to comment further about that so as to not spoil anything. This is still a solid superhero origin story."
Resident Evil: Apocalypse,5,0,2,2 January 2014," Director Alexander Witt not up to it
","The Umbrella corporation's secret underground lab quarantine has been breached. Zombies and other mutants are escaping into Raccoon city up above. Umbrella has sealed off the city, and intends to nuke it to wipe out any evidence. Alice (Milla Jovovich) and various people are scattered in the city trying to survive. Meanwhile Dr. Ashford who has escaped is guiding them to rescue his daughter who is still trapped in the city.This has the unenviable position of opening up the scale of the franchise without the needed support. The virus has spread out into the open. This movie is city wide, but the CGI has barely improved. It needs mass zombie armies, and that means lots of CGI. Instead, they're relying a lot on real stunts and real people. Director Alexander Witt just doesn't have the skills or the people to make it work.The other problem is that the characters are widely scattered. It would be more compelling to gather them together. It would be a more simple action-horror, and it would be a better quest movie."
Mulholland Drive,6,1,4,19 July 2016," maddening surreal tale
","Betty Elms (Naomi Watts) is a naive Canadian aspiring actress who arrives in L.A. to stay at her aunt Ruth's Hollywood home while she's away filming in Vancouver. She finds a dark-haired beauty in the shower. She (Laura Elena Harring) has amnesia after a car crash on Mulholland Drive and takes on the name Rita. There's a diner called Winkies. There's director Adam Kesher (Justin Theroux). There's a hit man (Mark Pellegrino) who has a hit that keeps going wrong. Rita remembers the name Diane Selwyn and Betty joins her to find the dead woman.This film is maddening. David Lynch has created a confusing surreal tale. I'm sure someone has dissected this to make sense of everything. I can't tie the whole movie down. The pairing of Watts and Harring is great. Watts is especially terrific. If this comes with explanations, I may just like this more."
Dumb and Dumber,9,0,2,26 October 2013," Funny & Funnier
","Harry Dunne (Jeff Daniels) is a dog groomer. Lloyd Christmas (Jim Carrey) is a limo driver. It's questionable who is dumb and who is dumber. Let's just say that both are world class competitors in the event. Lloyd falls heavily for Mary Swanson (Lauren Holly). He picks up her suitcase and travels cross country to return it. Little does he know that she left it deliberately for a couple of kidnappers as ransom.This is the Farrelly brothers' first and possibly best hit. Over the years, I have seen this movie many times and every time I have gut busting laughs. The gags work no matter how many times you see it. Jim Carrey is at his hilarious best. And Jeff Daniels is surprising nimble with this outlandish material. The best part is their chemistry together. They have that playful friendship that allows the viewers to laugh at the ridiculousness."
Grave of the Fireflies,8,1,2,9 May 2014," Heart breaking animation
","This animated movie starts with young boy Seita dying on the floor of a train station after Japan surrenders in WWII. His spirit leads the audience to his story with his little sister Setsuko. During an air raid on their home town, they lose their mother. Their father is away with the Navy. The siblings go to live with their unsympathetic aunt. Seita clash with her, and the siblings go live by themselves in the bomb shelter next to the waters. It doesn't go well as their lives deteriorate to the point where Seita dies alone on the floor.It is the saddest of tragedy. The animation is the perfect foil to the subject matter. The animation style is children's story but the movie is all too realistic. The characters are not cartoons. It is ripped from the pages of history. The children animation style draws the audience in, and it hits the viewer in the heart."
